,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
5384,male,36 y.o.,"Fgura, Malta",single,lordmt88,white,Technician,"I'm an Italian guy, 33 years old, living in Malta since 3 years.

Good life, hard worker, loyalty and romantic person 

Right now I'm not seeking long term relationship cause of the past, but who knows the future?",from 32 to 60,want children,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance",PERU
5793,male,37 y.o.,"Santa Venera, Malta",single,giulyanno,white,-,-,from 19 to 40,want children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",PERU
5845,male,33 y.o.,"??ejtun, Malta",single,Johnturk,asian,-,-,from 19 to 35,no children,Straight,Atheist,non-smoker,social drinker,Serious Relationship,PERU
6071,male,55 y.o.,"??a??-??abbar, Malta",separated,artist68,white,-,im an artist with green eyes 5.10 high and im very good looking,from 41 to 48,no children,Straight,Christian,light smoker,occasional drinker,Serious Relationship,PERU
6100,male,77 y.o.,"Valletta, Malta",married,lighting,white,managerial,-,from 65 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship",PERU
6204,male,35 y.o.,"Msida, Malta",single,yassine,mixed,lawyer,-,from 22 to 86,no children,Straight,Muslim,light smoker,occasional drinker,"Romance, Serious Relationship, Marriage",PERU
6250,male,29 y.o.,"St Julian's, Malta",single,Mathe,mixed,Student,-,from 19 to 86,no children,Bisexual,Atheist,non-smoker,social drinker,"Fun, Friendship, Romance",PERU
6360,male,34 y.o.,"Gzira, Malta",single,Sweetfas,mixed,-,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,Friendship,PERU
6509,male,42 y.o.,"Birkirkara, Malta",single,Daky,white,-,-,from 19 to 86,no children,Straight,Other,social smoker,never,"Romance, Serious Relationship",PERU
6628,male,32 y.o.,"Bugibba, St Paul's Bay, Malta",single,Daryabi,mixed,-,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,"Fun, Friendship, Romance",PERU
6678,male,40 y.o.,"St Paul's Bay, Malta",single,Allince,black,chef in intercontinental .,i'm a black very cool MEN and work all the time . leaving in Malta now 11 years ago never have problems with someone.All the time work,from 19 to 50,no children,Straight,Other,social smoker,occasional drinker,Serious Relationship,PERU
6832,male,43 y.o.,"St Julian's, Malta",single,miniexpert,mixed,Entrepreneur,-,from 19 to 86,no children,Straight,Atheist,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
6840,male,48 y.o.,"Qormi, Malta",single,nankang,white,carpenter,-,from 33 to 40,no children,Straight,Christian,non-smoker,never,Serious Relationship,PERU
6903,male,29 y.o.,"Bugibba, St Paul's Bay, Malta",single,jorg21,asian,-,-,from 19 to 86,no children,Straight,Christian,social smoker,social drinker,"Friendship, Romance",PERU
7006,male,30 y.o.,"Mosta, Malta",single,Alisafi447,white,-,-,from 19 to 45,no children,Straight,Muslim,light smoker,social drinker,Marriage,PERU
7158,male,44 y.o.,"Valletta, Malta",divorced,johnny1980,white,Analyst,-,from 19 to 86,no children,Straight,Christian,social smoker,social drinker,"Friendship, Romance",PERU
7196,female,73 y.o.,"Birkirkara, Malta",divorced,Maltalgirl629,white,Retired,"Retired, divorce, Have three pets cat and two small dogs.",from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Friendship,PERU
7258,male,55 y.o.,"Valletta, Malta",separated,Tridentine68,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",PERU
7600,male,39 y.o.,"St Paul's Bay, Malta",single,Santhosh1232,asian,Hotels,"My self santhosh, currently living in Malta, I am looking for an beautiful solemate",from 28 to 35,no children,Straight,Hindu,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage",PERU
7832,male,63 y.o.,"Sliema, Malta",married,Pip,white,Retired,-,from 24 to 59,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship",PERU
8027,female,40 y.o.,"??ejtun, Malta",single,torry,white,Marketing,-,from 36 to 50,want children,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
8094,male,29 y.o.,"Hamrun, Malta",single,Luca2019,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship",PERU
8376,male,45 y.o.,"Bugibba, St Paul's Bay, Malta",single,Viperkiss,white,-,-,from 19 to 40,no children,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
8721,male,33 y.o.,"Msida, Malta",single,Sarathyaar,white,Accountant,-,from 19 to 86,no children,Straight,Hindu,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
8805,male,43 y.o.,"Sliema, Malta",single,B,white,-,-,from 24 to 44,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
8900,male,36 y.o.,"Santa Lu??ija, Malta",single,Eric137,white,-,-,from 25 to 35,want children,Straight,Other,light smoker,social drinker,Serious Relationship,PERU
9028,male,41 y.o.,"??ad-Dingli, Malta",single,TerenceC,white,Driver,-,from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
9303,male,39 y.o.,"Mosta, Malta",single,Kay123,black,-,"I?€?m very respectful guy and caring,I like listening to music and watching movies",from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,PERU
9310,male,57 y.o.,"Naxxar, Malta",single,Sharkiss,white,Truck driver,-,from 19 to 45,no children,Straight,Christian,social smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",PERU
9491,male,33 y.o.,"??ejtun, Malta",in relationship,MilosRistic01,white,-,-,from 19 to 33,no children,Straight,Atheist,light smoker,social drinker,Fun,PERU
9521,male,62 y.o.,"Mqabba, Malta",single,Joefran,white,Engineer,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Marriage,PERU
9665,male,36 y.o.,"Zurrieq, Malta",single,Cacia,white,-,-,from 19 to 86,no children,Straight,Christian,light smoker,social drinker,Friendship,PERU
9712,female,47 y.o.,"Marsalforn, ??ebbu??, Malta",single,dee_Irish,white,Office Admin,"I am an honest down to earth lady. Never been lucky with love so hopes things might change. I moved here last year as it rains constantly in Ireland and my son has grown up and left the nest as such! 
If you want to know more please just ask!",from 34 to 42,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
10243,male,46 y.o.,"Haz-Zebbug, Malta",separated,Mizzi1977,white,Port worker,-,from 25 to 40,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
10371,male,46 y.o.,"Valletta, Malta",single,Siciliano,white,Artist,"I'm Italian fom sicily currently in England
I will move to Malta in February.. 
Will be nice to make new friendship here",from 25 to 60,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
10952,female,47 y.o.,"San Juli??n, Malta",single,Mary45,white,-,-,from 45 to 62,no children,Straight,Atheist,non-smoker,never,Friendship,PERU
11306,male,30 y.o.,"Qormi, Malta",single,Zinoune,mixed,pizzaiolo,-,from 24 to 86,no children,Straight,Muslim,light smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
11396,male,32 y.o.,"Birkirkara, Malta",single,jackdan25,asian,communication,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship",PERU
11448,male,37 y.o.,"Xag??ra, Malta",single,Shovel,white,-,-,from 19 to 86,no children,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
12181,male,35 y.o.,"Birkirkara, Malta",separated,Gigigigi,white,-,-,from 27 to 36,more than 2 living elsewhere,Straight,Christian,social smoker,social drinker,Serious Relationship,PERU
12293,female,46 y.o.,"Sliema, Malta",single,Gigi2027,mixed,-,-,from 45 to 55,1-2 living with me,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",PERU
12579,male,70 y.o.,"St Paul's Bay, Malta",separated,Hoppes,white,-,-,from 30 to 45,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,PERU
12814,male,42 y.o.,"Birkirkara, Malta",single,drinu,white,-,"Adventurous, like travelling and sports. I am a very tolerant person all I ask for is honesty.",from 26 to 34,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,PERU
13076,male,33 y.o.,"Valletta, Malta",divorced,Erman,white,-,-,from 19 to 86,want children,Straight,Other,social smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
13380,male,31 y.o.,"Sliema, Malta",separated,carloss23456,mixed,-,-,from 19 to 86,no children,Homosexual,Other,social smoker,social drinker,Fun,PERU
13834,male,-,"Marsaskala, Malta",-,jonathanf2,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",PERU
13843,male,46 y.o.,"Msida, Malta",single,detesc,white,-,-,from 23 to 40,don't want children,Straight,Atheist,social smoker,never,"Fun, Friendship, Romance",PERU
14255,male,-,"Fgura, Malta",-,bernards,-,-,-,from 19 to 86,-,-,-,-,-,"Friendship, Romance, Serious Relationship",PERU
14892,female,41 y.o.,"Zurrieq, Malta",single,airam35,white,Admin,-,from 33 to 46,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",PERU
15230,male,34 y.o.,"Valletta, Malta",single,bb90,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship",PERU
5505,male,46 y.o.,"Jouribga, Marruecos",divorced,Richie,white,Desempleado,"Soy agradable, sincero, confiable, respetuoso, cari??oso, respecto la decisi??n de los dem??s, cuentan con m?? apoyo, mi gusta la pesca, el mar, el f??tbol, ver pel??culas romance",from 24 to 44,no children,Straight,Muslim,light smoker,never,Serious Relationship,PERU
1411,male,53 y.o.,"Port Louis, Mauritius",separated,Jam007,mixed,Traveler Photographer,-,from 19 to 86,more than 2 living with me,Straight,Other,light smoker,social drinker,Romance,PERU
2998,male,40 y.o.,"Bambous, Mauritius",divorced,henrick,mixed,-,-,from 28 to 35,no children,Straight,Christian,light smoker,occasional drinker,Marriage,PERU
3195,male,36 y.o.,"Rivi??re Noire District, Mauritius",single,neelm,mixed,-,-,from 19 to 30,no children,Straight,Hindu,non-smoker,occasional drinker,"Serious Relationship, Marriage",PERU
4769,male,42 y.o.,"Beau Bassin-Rose Hill, Mauritius",separated,arshad,white,business,-,from 19 to 25,no children,Straight,Other,social smoker,occasional drinker,Serious Relationship,PERU
5924,female,44 y.o.,"Roches Brunes, Beau Bassin-Rose Hill, Mauritius",single,liselle,mixed,Notary's clerk,-,from 39 to 44,no children,Straight,Christian,non-smoker,never,Serious Relationship,PERU
7023,male,49 y.o.,"Curepipe, Mauritius",single,Krishna2211,mixed,Teacher,"I am fun, loving, easygoing, kind and loving. I would like to find someone to share my dreams and aspirations with. It is so much more fun having someone to share special moments with.",from 35 to 58,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",PERU
119,male,49 y.o.,"Mexico City, CDMX, Mexico",divorced,Tioi,pacific islander,-,-,from 19 to 86,no children,Homosexual,Jewish,light smoker,occasional drinker,"Fun, Friendship",PERU
282,male,42 y.o.,"Guadalajara, Jalisco, Mexico",single,625201962,hispanic,-,-,from 19 to 46,want children,Straight,Other,non-smoker,occasional drinker,Romance,PERU
294,male,36 y.o.,"San Juan del R??o, Qro., Mexico",single,Adan182,hispanic,Trabajador empleado,-,from 25 to 42,1-2 living elsewhere,Straight,Other,light smoker,occasional drinker,"Romance, Serious Relationship",PERU
724,male,44 y.o.,"Mexico City, CDMX, Mexico",single,junior2113,hispanic,sales,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",PERU
745,male,59 y.o.,"Mexico City, Mexico",single,pepemex,hispanic,-,-,from 45 to 56,don't want children,Straight,Spiritual,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
758,male,41 y.o.,"San Luis Potos??, San Luis Potosi, Mexico",separated,leo_8082,hispanic,technical,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
828,male,58 y.o.,"Lerdo de Tejada, Ver., Mexico",separated,MACARIO1,hispanic,-,-,from 45 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Friendship,PERU
975,male,58 y.o.,"Mexico City, CDMX, Mexico",divorced,Angel65,hispanic,abogado,"Hablo ingl??s e italiano, me gusta platicar, cantar y pasear",from 19 to 86,more than 2 living with me,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship",PERU
992,male,72 y.o.,"Mexico City, CDMX, Mexico",married,MiguelAngel1951,white,Ingeniero retirado,Deseo contactar personas para posible viaje el pr??ximo verano de 2023 a Estambul. Quiero establecer amistad con hombres o mujeres de esa ciudad que hablen espa??ol preferentemente (o ingl??s).,from 19 to 86,more than 2 living elsewhere,Straight,Spiritual,non-smoker,never,Friendship,PERU
997,male,26 y.o.,"Mexico City, CDMX, Mexico",single,Franklin257,hispanic,-,-,from 22 to 55,want children,Straight,Other,light smoker,social drinker,"Romance, Marriage",PERU
1013,male,46 y.o.,"Heroica Veracruz, Ver., Mexico",separated,frankslayer,hispanic,Tecnico en telecomunicaciones,"toco el piano , soy muy apasionado, amo con todo el corazon...",from 19 to 40,1-2 living with me,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",PERU
1065,male,32 y.o.,"Mexico City, CDMX, Mexico",single,GERMANGONZALEZ7,hispanic,INGENIERO,-,from 19 to 60,no children,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Romance",PERU
1108,male,26 y.o.,"Santiago de Quer??taro, Qro., Mexico",separated,al123,white,Diligencias,-,from 19 to 86,want children,Straight,Other,light smoker,occasional drinker,"Fun, Romance",PERU
1131,male,54 y.o.,"Ciudad Ju??rez, Chihuahua, Mexico",divorced,Larry1969,white,Cook,-,from 19 to 86,no children,Straight,Other,light smoker,never,Serious Relationship,PERU
1191,male,31 y.o.,"Tijuana, Baja California, Mexico",single,roberto92,hispanic,cheff,-,from 19 to 36,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance",PERU
1228,male,34 y.o.,"Mexico City, CDMX, Mexico",single,ederr,hispanic,-,-,from 19 to 40,no children,Homosexual,Other,social smoker,social drinker,"Friendship, Romance, Serious Relationship",PERU
1250,female,46 y.o.,"Mexico City, CDMX, Mexico",single,Gigi2018,white,-,-,from 40 to 52,don't want children,Straight,Atheist,light smoker,social drinker,Friendship,PERU
1279,female,27 y.o.,"Mexico City, CDMX, Mexico",in relationship,Is4b3l,hispanic,-,Me gusta mucho independencia femenina,from 19 to 86,1-2 living with me,Bisexual,Other,non-smoker,occasional drinker,Friendship,PERU
1292,male,35 y.o.,"Mexico City, CDMX, Mexico",single,isomx,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Friendship,PERU
1303,female,42 y.o.,"Colima, Mexico",single,perlaa,hispanic,-,-,from 38 to 55,no children,Straight,Spiritual,non-smoker,social drinker,Friendship,PERU
1310,male,34 y.o.,"Puerto Vallarta, Jalisco, Mexico",single,Luis29,hispanic,Agente de seguridad,-,from 19 to 35,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",PERU
1321,male,44 y.o.,"Tepic, Nayarit, Mexico",divorced,jpablop,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",PERU
1344,male,39 y.o.,"Ciudad L??pez Mateos, State of Mexico, Mexico",single,Cesarin1984,hispanic,-,-,from 19 to 86,want children,Straight,Other,light smoker,occasional drinker,Serious Relationship,PERU
1348,male,40 y.o.,"Mexico City, CDMX, Mexico",single,Erwin0609,hispanic,-,"Culto, sincero, emprendedor.
Apasionado por la cultura e historia de M??xico y del mundo.",from 19 to 34,want children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",PERU
1389,male,40 y.o.,"Los Cabos, Baja California Sur, Mexico",separated,Criss10,hispanic,Cheff,Hola soy un chico solo y con deceos por encontrar mi media naranja donde encuentro que hay mujeres muy hermosas soy algo t??mido tengo la certeza de que la podre encontrar tarde o temprano .,from 19 to 30,no children,Straight,Christian,non-smoker,social drinker,"Fun, Romance, Marriage",PERU
1392,male,47 y.o.,"Puebla City, Puebla, Mexico",single,ricardoh2,hispanic,-,-,from 25 to 40,no children,Straight,Other,non-smoker,social drinker,Marriage,PERU
1397,male,32 y.o.,"M??rida, Yucatan, Mexico",single,andresc23456789,hispanic,-,-,from 25 to 33,no children,Straight,Other,social smoker,occasional drinker,Romance,PERU
